id;product;bill_date;bill_number;paid_amount;bill;bill_content_type
1;Hatchback Hermaphrodite;2023-07-21T04:14:45;state blind;7546;../fake-data/blob/hipster.png;image/png
2;pare Creative;2023-07-21T03:38:02;Guyana utilize Dam;13946;../fake-data/blob/hipster.png;image/png
3;Agent neural Fermium;2023-07-20T13:10:01;female throughout;4418;../fake-data/blob/hipster.png;image/png
4;mostly Gasoline;2023-07-21T09:15:03;overachieve;31869;../fake-data/blob/hipster.png;image/png
5;orchid Human budget;2023-07-20T17:38:31;Grocery provided;11980;../fake-data/blob/hipster.png;image/png
6;Garden Trans Home;2023-07-20T18:34:16;red Illinois Specialist;9048;../fake-data/blob/hipster.png;image/png
7;Courts;2023-07-20T11:23:15;Convertible deposit invoice;4390;../fake-data/blob/hipster.png;image/png
8;Diesel;2023-07-20T13:09:46;collaborative;2891;../fake-data/blob/hipster.png;image/png
9;now solution;2023-07-21T03:09:35;Chief;11052;../fake-data/blob/hipster.png;image/png
10;Van cyan;2023-07-21T09:53:37;promenade analog Nevada;1840;../fake-data/blob/hipster.png;image/png
